i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,Position
0.06368979824275953,0.05603237878294827,0.08217743247640744,0.06286609176700295,0.05793402212821348,0.10295314025382364,0.06375081353726,0.04713431500162709,0.051893507972665155,0.06652700943703221,0.06197120078099576,0.12577286039700622,0.0628864301985031,0.04643263911487147,0.047978359908883834,0_0
0.06466129301703978,0.05405320748412964,0.07935182091546944,0.060704143000334124,0.055713331105913796,0.0882997828265954,0.06239558970932176,0.043737470765118615,0.0760733377881724,0.06292808219178084,0.06499540594721016,0.11751378215836954,0.06191530237220181,0.044061142666221194,0.06359630805212163,0_1
0.06838717995551878,0.05376424956754374,0.06517464785705843,0.06447627131391488,0.06068354947191989,0.0857284067344987,0.06303654120958817,0.04839212231259333,0.09043439020983526,0.06580855887314258,0.06654991243432573,0.0879417231635383,0.0634555671354743,0.05122860550320716,0.06493827425784063,0_2
0.06685351155461104,0.04816902276017123,0.10042399416879688,0.06485160204092105,0.055570954859507,0.06913260853942733,0.061689611629554324,0.04673175439136816,0.09793957313129444,0.06846530536819735,0.06012914882913956,0.07671933228618065,0.06368125494061,0.052450029258677505,0.06719229624154319,0_3
0.06842707142114564,0.04885123193679176,0.10697577710780747,0.06316664933984821,0.05375818692171742,0.05981910801538621,0.06320823370412723,0.056648300239110085,0.0970163218629795,0.06466368645389332,0.06330179852375507,0.0660463665661711,0.06440378417714937,0.05605572304813389,0.06765776068198355,0_4
0.07113541644629671,0.0759694514375172,0.062080856375214204,0.06514840593200617,0.06356174236814825,0.07440394338784405,0.0678880450189342,0.07165372654382364,0.04437369100255981,0.06149907973513296,0.08119486344115592,0.08400854682773064,0.06628022594089149,0.06712644650828238,0.04367555903446234,2_0
0.0694279970256947,0.07119972827334234,0.07134660754775872,0.06261647067463486,0.053436516023610846,0.090174694537009,0.06575601516528509,0.06393838414438233,0.04445852037490936,0.0604500013769932,0.07847025235695337,0.10732284982512189,0.06257975085603078,0.05300505815501271,0.045817153663260904,2_1
0.07662856980800319,0.0794220243328323,0.045305011202178044,0.0614843594906554,0.0645046935708006,0.08120870083094639,0.06938260401009616,0.07176483934091489,0.04412807350897593,0.06246277757295595,0.08488131363262527,0.06806386659482148,0.06605031054139134,0.06498681262584725,0.05972604293695585,2_2
0.07008138128230507,0.0640144433446974,0.06672715275486639,0.061915759375343674,0.06241981011034129,0.07829282598335718,0.06546244363796327,0.0636386964331537,0.08335166245096963,0.06273140511015801,0.07832948421862973,0.05231130173393453,0.06462846878551266,0.0638953040800616,0.06219986069870598,2_3
0.06973095473298854,0.07220059271311523,0.07765316597904198,0.061576306971158505,0.0631646231622988,0.058293141185813635,0.06452050283766246,0.06998276095841324,0.08155616247312454,0.06084994285935654,0.08033587076529725,0.04838553470083484,0.06325178685571504,0.06663180118930018,0.0618668526158793,2_4
0.06922003328144292,0.08137849589349938,0.05819779197308856,0.06171381537745809,0.06475566768658186,0.07737935476944549,0.06533719827509081,0.0771199026607261,0.047488682520085174,0.0615169896398089,0.08872367455758942,0.06744860164260025,0.06449621557786249,0.06896952779716213,0.04625404834755847,4_0
0.07026283084950133,0.08129371527171511,0.060238488953709306,0.06333001242771895,0.06458305516469293,0.07253268695500342,0.06675020284913158,0.07516202253422756,0.0489919168472623,0.06157369842753406,0.09069153579902015,0.066822098743876,0.06494253463841498,0.07049906021794726,0.04232614032024485,4_1
0.07208319855715978,0.08118916693621898,0.05399868654492702,0.06305564540633789,0.06504543182285998,0.07252428421599473,0.06653532115936914,0.07666068750551355,0.0473039864341655,0.06066398094509953,0.09372580155066111,0.06393781672400779,0.06556493270993224,0.0706031111241803,0.0471079483635722,4_2
0.0680916532812107,0.08062237532173476,0.05546416890832736,0.06185048284403848,0.06584676717047588,0.07463278694869663,0.06368896715886439,0.07408124165424883,0.060892535753681816,0.05857991601029551,0.08749250091924216,0.06263425773614847,0.062469761771137736,0.06980434656396958,0.053848237957927744,4_3
0.06916854943614724,0.07745273515057267,0.055348532417867254,0.06243948240955372,0.06464990268282425,0.06938372309106737,0.06513893371673367,0.07544770791154408,0.06613655702590887,0.061715716479367785,0.0869105953463807,0.05572997662431659,0.06511937247537729,0.06836653854053579,0.05699167669180288,4_4
